Age,Conc_tricaine,Recovery,Not_SM_or_TR,Length
21,0.014,1,1,7
21,0.014,1,1,7
21,0.015,1,1,7
21,0.015,1,1,7
21,0.015,1,1,7
21,0.014,1,1,4.5
21,0.014,1,1,6
21,0.014,1,1,4.5
21,0.014,1,1,5
21,0.014,1,1,6
21,0.015,1,1,7
21,0.014,1,1,4
21,0.014,1,1,4
21,0.016,1,1,7
21,0.014,1,1,6
21,0.014,0,1,8
21,0.014,1,1,4
21,0.014,1,1,6
21,0.014,1,1,4.5
21,0.014,0,1,7.5
21,0.014,0,1,7.5
21,0.014,1,1,5
21,0.014,1,1,4.5
21,0.014,0,1,7.5
21,0.014,1,1,5
21,0.014,1,1,5
21,0.014,1,1,5
21,0.014,1,1,6
21,0.014,1,1,5
21,0.014,1,1,6
21,0.014,1,1,4.5
21,0.014,1,1,6
21,0.014,1,1,6.5
21,0.014,1,1,6.5
21,0.014,1,1,6
21,0.015,1,1,6.5
21,0.015,1,1,6.5
21,0.015,1,1,6
21,0.015,1,1,6.5
21,0.015,1,1,6
21,0.015,1,1,6.5
21,0.015,1,1,6
21,0.015,1,1,6
21,0.015,1,1,6
21,0.015,1,1,5
21,0.015,1,1,6
21,0.015,1,1,6.5
21,0.015,1,1,6.5
21,0.015,1,1,4
21,0.015,1,1,6.5
21,0.015,1,1,6.5
21,0.015,1,1,5.5
21,0.015,1,1,6
21,0.015,1,1,6
21,0.015,1,1,6
21,0.015,1,1,5
21,0.015,1,1,6
21,0.015,1,1,6
21,0.015,1,1,6
21,0.015,1,1,6
21,0.015,1,1,6
21,0.015,1,1,6
21,0.015,1,1,6
21,0.015,1,1,6.5
21,0.015,1,1,6.5
21,0.015,1,1,6
21,0.016,1,1,6
21,0.016,1,1,6.5
21,0.016,1,1,6.5
21,0.016,1,1,5
21,0.016,1,1,6
21,0.016,1,1,6
21,0.016,1,1,6
21,0.016,1,1,6
21,0.016,1,1,5.5
21,0.016,1,1,5.5
21,0.016,1,1,5
21,0.016,1,1,5.5
21,0.016,1,1,6
21,0.016,1,1,6
21,0.016,1,1,6.5
21,0.016,1,1,6
21,0.016,1,1,6
21,0.016,1,1,6
21,0.016,1,1,5.5
21,0.016,1,1,6.5
21,0.016,1,1,6
21,0.016,1,1,6
21,0.016,1,1,6
21,0.016,1,1,5.5
21,0.016,1,1,6
21,0.016,1,1,5.5
21,0.016,1,1,6
21,0.016,1,1,6
21,0.016,1,1,6
21,0.016,1,1,6.5
21,0.016,1,1,5.5
21,0.016,1,1,4.5
21,0.014,0,1,7
21,0.014,0,1,7
21,0.014,0,1,7
21,0.014,0,1,7
21,0.014,0,1,7
21,0.016,0,1,7
24,0.013,0,1,6
24,0.013,1,1,7
24,0.012,1,1,7
24,0.012,1,1,7
24,0.012,1,1,7
24,0.013,1,1,7.5
24,0.013,1,1,4.5
24,0.013,1,1,6
24,0.013,1,1,6.5
24,0.013,1,1,3.5
24,0.013,1,1,6
24,0.013,1,1,7.5
24,0.011,1,1,7
24,0.013,1,1,9
24,0.013,1,1,5.5
24,0.013,1,1,6
24,0.013,1,1,5.5
24,0.013,1,1,5.5
24,0.013,1,1,5.5
24,0.013,1,1,6
24,0.013,1,1,5.5
24,0.013,1,1,5
24,0.013,1,1,5.5
24,0.013,1,1,6
24,0.013,1,1,6
